person_id,entry_time,exit_time
29,00:00:01,00:00:01
26,00:00:00,00:00:01
17,00:00:00,00:00:01
36,00:00:01,00:00:01
35,00:00:01,00:00:01
38,00:00:01,00:00:01
1,00:00:00,00:00:01
2,00:00:00,00:00:01
43,00:00:01,00:00:01
47,00:00:01,00:00:01
26,00:00:02,00:00:02
11,00:00:02,00:00:02
7,00:00:00,00:00:00
5,00:00:00,00:00:02
9,00:00:02,00:00:02
42,00:00:01,00:00:02
24,00:00:00,00:00:03
46,00:00:01,00:00:03
8,00:00:02,00:00:03
21,00:00:04,00:00:04
26,00:00:05,00:00:05
12,00:00:00,00:00:05
35,00:00:05,00:00:05
31,00:00:05,00:00:05
13,00:00:02,00:00:05
35,00:00:06,00:00:06
30,00:00:05,00:00:06
38,00:00:06,00:00:06
33,00:00:05,00:00:06
39,00:00:06,00:00:06
9,00:00:04,00:00:06
20,00:00:04,00:00:07
24,00:00:04,00:00:07
5,00:00:04,00:00:07
46,00:00:04,00:00:07
37,00:00:06,00:00:07
31,00:00:06,00:00:07
30,00:00:07,00:00:07
